\bSP`(G|RI?NG`)S\b	Springs
\bSPURS?\b	Spurs
\bSQ`(|RE?|U|UARE?`)\b	Square
\bSQ`(|RE?|U|UARE?`)S\b	Squares
\bSH\b	State Highway
\bSR\b	State Route
\bST`(A|N|A?TI?O?N`)\b	Station
\bSTRA`(VE?|VE?N|VE?NUE?`)\b	Stravenue
\bSTRE?A?ME?\b	Stream
\bST`(\b.?|R\b.?|RE?E?T\b)	Street
\bSTE\b	Suite
\bSU?MM?I?TT?\b	Summit
\bTE?R`R?(|ACE`)\b	Terrace
\b`(TRWA?Y|THRO?U?GHWA?Y`)\b	Throughway
\bTWP\b	Township
\bTRA?CES?\b	Trace
\bTRA?C?KS?\b	Track
\b`(TRA?FFI?CWA?Y|TRFY`)\b	Trafficway
\bTR`(L?|AIL`)S?\b	Trail
\bTUNN?E?LS?\b	Tunnel
\b`(TPI?KE?|TU?RNPI?KE?`)\b	Turnpike
\bU`(PASS?|NDE?RPA?SS?`)\b	Underpass
\bUN`(|ION`)\b	Union
\bUN`(|ION`)S\b	Unions
\bVA?LL?E?Y\b	Valley
\bVA?LL?E?YS\b	Valleys
\bVI?A?DU?CT\b	Viaduct
\bVI?E?W\b	View
\bVI?E?WS\b	Views
\bVI?LL?A?GE?\b	Village
\bVI?LL?A?GE?S\b	Villages
\bV`(L|I?LLE?`)\b	Ville
\bVI?STA?\b	Vista
\bWA?LKS?\b	Walks
\bWALL\b	Wall
\bWA?Y\b	Way
\bWA?YS\b	Ways
\bWE?LL?\b	Well
\bWE?LL?S\b	Wells
\b11th st wst e\b	11th Street West East	1
\bap`(artmen`)?t\b	Apt.
@	 at 
\/Att business\b	ATT Business	1
\bbritai\b	Britain
\bC\/O\b	care of
\bDR-HOUSTON\b	Drive	1
\bE`(\b.?|AST\b|\s|\/|$`)	East
\bfed`(eral`)?\s{1,} h`(igh`)?w?a?y\b	Federal Highway
\bFLO?O?R\b	floor
\bFWY SER\b	Freeway Service Road
\bPMB\b	mailbox
\bN`(\b.?|O?RTH\b|\s|\/|$`)	North
\bNE\b	Northeast
\bNW\b	Northwest
^25 `(\&|and\b`)	Route 25 and
\bSER\b	Service Road
\bS`(\b.?|OUTH\b|\s|\/|$`)	South
\bSE\b	Southeast
\bSW\b	Southwest
\bW`(\b.?|EST\b|\s|\/|$`)	West	1
