id	updated_at	exported_at	created_at	license_numer	owner_name	business_name	business_num	street	city	zip	cancel	date_entry	business_type
76	2013-03-06 19:38:24	2013-03-07 15:23:34	2013-03-05	31389048	OSMILEYS DOLLS & COLLECTIBLES LLC	OSMILEYS DOLLS & COLLECTIBLES LLC	2103	BEECHMONT AVE	CINCINNATI	45230	No	2013-02-07	Other General Merchandise Stores
77	2013-03-06 19:38:07	2013-03-07 15:23:34	2013-03-05	31389049	NIKE RETAIL SERVICES, INC.	N/A	2692	MADISON RD SUITE A9	CINCINNATI	45208	No	2013-02-07	Sporting Goods Stores
78	2013-03-06 19:37:26	2013-03-07 15:23:34	2013-03-05	31389050	BODYWORKS & MASSAGE LLC	N/A	7712	HAMILTON AVE	CINCINNATI	45231	No	2013-02-07	Other Misc Health Practitioners
79	2013-03-06 19:36:48	2013-03-07 15:23:34	2013-03-05	31389051	YARNELL MCKENZIE	DEJONAYOS	3369	ALEXIS RD	CINCINNATI	45239	No	2013-02-07	Clothing Accessories Stores
80	2013-03-06 19:36:33	2013-03-07 15:23:35	2013-03-05	31389052	BULENT UYSAL	CUSTOM TEEZ	11700	PRINCETON PK	CINCINNATI	45246	No	2013-02-07	Apparel Accessories/Other Apparel Mfg
81	2013-03-06 19:36:25	2013-03-07 15:23:36	2013-03-05	31389053	KIMBERLY WALTON	CITY CULTURE	3861	IVANHOE	NORWOOD	45212	No	2013-02-07	Family Clothing Stores
82	2013-03-06 19:36:20	2013-03-07 15:23:37	2013-03-05	31389054	CUSTOM HOME ELEVATOR & LIFT CO INC	CUSTOM HOME ELEVATOR & LIFT CO INC	11431	WILLIAMSON RD #B	CINCINNATI	45241	No	2013-02-08	Medical Equipment/Supplies Mfg
83	2013-03-06 19:36:09	2013-03-07 15:23:37	2013-03-05	31389055	APAULO, LLC	A'S SMOKE SHOP	9	W COURT ST	CINCINNATI	45202	No	2013-02-12	Other Miscellaneous Store Retailers
84	2013-03-06 19:36:03	2013-03-07 15:23:37	2013-03-05	31389056	Christina Early	Phenomenal	2477	BLUEROCK DR	CINCINNATI	45231	No	2013-02-12	Women's Clothing Stores
85	2013-03-06 19:35:38	2013-03-07 15:23:38	2013-03-05	31389057	Lisa Bentley	N/A	10002	MONTGOMERY RD	CINCINNATI	45242	No	2013-02-13	Beauty Salons
86	2013-03-06 19:35:33	2013-03-07 15:23:39	2013-03-05	31389058	Eros Salon LLC	N/A	4760	RED BANK EXP., #300	CINCINNATI	45227	No	2013-02-13	Beauty Salons
87	2013-03-06 19:35:28	2013-03-07 15:23:40	2013-03-05	31389059	HOLLY JACKSON	N/A	6701	RUWES OAK DR	CINCINNATI	45248	No	2013-02-13	Beauty Salons
88	2013-03-06 19:35:23	2013-03-07 15:23:40	2013-03-05	31389060	BROWN GROUP RETAIL, INC.	FAMOUS FOOTWEAR #3275	9859	WATERSTONE BLVD	CINCINNATI	45249	No	2013-02-13	Shoe Stores
89	2013-03-06 19:35:18	2013-03-07 15:23:42	2013-03-05	31389061	TRISHA UHLENBROCK	N/A	6701	RUWES OAK DR	CINCINNATI	45248	No	2013-02-14	Nail Salons
90	2013-03-06 19:35:10	2013-03-07 15:23:44	2013-03-05	31389062	Express Wings, LLC	N/A	7617	READING RD	CINCINNATI	45237	No	2013-02-14	Limited-Service Eating Places
91	2013-03-06 19:35:05	2013-03-07 15:23:44	2013-03-05	31389063	Harold Snow	Auto Available	7765	VINE ST	CINCINNATI	45216	No	2013-02-14	Auto Body/Paint/Interior/Glass Repair
92	2013-03-06 19:23:25	2013-03-07 15:23:45	2013-03-05	31389064	Yvonne J. Haynes	Yvonne Haynes Store	1819	ANDINA	CINCINNATI	45237	No	2013-02-14	Convenience Stores
93	2013-03-06 19:23:20	2013-03-07 15:23:45	2013-03-05	31389065	Kingz Cleaning All Purpose Cleaning LLC	N/A	6614	BRAMBLE AVE	CINCINNATI	45227	No	2013-02-15	Janitorial Services
94	2013-03-06 19:22:49	2013-03-07 15:23:45	2013-03-05	31389066	SPRIGGS PROFESSIONAL	N/A	3423	JESSUP RD STE D	CINCINNATI	45239	No	2013-02-15	Cut/Sew Apparel Contractors
95	2013-03-06 19:22:45	2013-03-07 15:23:46	2013-03-05	31389067	THE PARLOUR ON THE PIKE LLC	THE PARLOUR ON THE PIKE	1510	SPRINGFIELD PK	CINCINNATI	45215	No	2013-02-19	Beauty Salons
96	2013-03-06 19:22:39	2013-03-07 15:23:46	2013-03-05	31389068	UNI AUTO SALES	UNI AUTO SALES	2800	COLERAIN AVE	CINCINNATI	45225	No	2013-02-19	Used Car Dealers
97	2013-03-06 19:21:39	2013-03-07 15:23:47	2013-03-05	31389069	SHAWNNA OTIS	KC'S 1-STOP GOODY SHOP	20	S MIAMI AVE	CLEVES	45002	No	2013-02-19	Confectionery/Nut Stores
98	2013-03-06 19:21:03	2013-03-07 15:23:48	2013-03-05	31389070	DEER PARK SMOKES, LLC	SMOKES	4077	E GALBRAITH RD	DEER PARK	45236	No	2013-02-19	Convenience Stores
99	2013-03-06 19:09:21	2013-03-07 15:23:48	2013-03-05	31389071	READING COMMUNICATION INC.	THERMAL SOLUTIONS, INC.	3537	SECTION RD	CINCINNATI	45236	No	2013-02-19	Plumbing/Heating/AC Contractors
100	2013-03-06 19:09:15	2013-03-07 15:23:49	2013-03-05	31389072	Jacqueline Tallarigo	N/A	6507	HARRISON AVE	CINCINNATI	45248	No	2013-02-20	Nail Salons
101	2013-03-06 18:57:30	2013-03-07 15:23:49	2013-03-05	31389073	SURRAY SHOE INC		4500	MONTGOMERY B#1	CINCINNATI	45212	No	2013-02-20	Shoe Stores
102	2013-03-06 18:57:17	2013-03-07 15:23:49	2013-03-05	31389074	MELISSA E. HAUSFELD	LOWELL& S-HAIR-INS HAIR DESIGN	4490	HARRISON AVE	CINCINNATI	45211	No	2013-02-20	Cosmetics/Beauty Supplies Stores
103	2013-03-06 18:57:09	2013-03-07 15:23:49	2013-03-05	31389075	MOR DIALLO	TRI-STATE AUTO SALES LLC	398	GALBRAITH RD	CINCINNATI	45215	No	2013-02-21	Used Car Dealers
104	2013-03-06 18:57:01	2013-03-07 15:23:50	2013-03-05	31389076	HP VETERINARY CLINIC, LLC	N/A	3667	PAXTON AVE	CINCINNATI	45208	No	2013-02-21	Veterinary Services
105	2013-03-06 18:56:59	2013-03-07 15:23:50	2013-03-05	31389077	Joo Jinn	Beauty Zone Plus	7617	READING RD., RM 120	CINCINNATI	45237	No	2013-02-22	Cosmetics/Beauty Supplies Stores
106	2013-03-06 18:56:53	2013-03-07 15:23:50	2013-03-05	31389078	Topper Inc.	Power Pro	7030	ST. RT. 128	CLEVES	45002	No	2013-02-22	Home/Garden Equipment Repair
107	2013-03-06 18:56:47	2013-03-07 15:23:52	2013-03-05	31389079	Charles B. Devereaux	Haleem Photography	6660	MONTGOMERY RD	CINCINNATI	45213	No	2013-02-22	Photographic Services
108	2013-03-06 18:56:42	2013-03-07 15:23:52	2013-03-05	31389080	Thoai X. Pham	TL Alterations	283	W KEMPER RD	CINCINNATI	45246	No	2013-02-22	Other Personal Care Services
109	2013-03-06 18:56:38	2013-03-07 15:23:52	2013-03-05	31389081	Bella's Cincinnati, LLC	N/A	2733	WOODBURN AVE	CINCINNATI	45206	No	2013-02-22	Full-Service Restaurants/Cafeterias
110	2013-03-06 18:56:35	2013-03-07 15:23:53	2013-03-05	31389082	LORENZO RICARDO GAETA GALVEZ	S.S. AUTO MOTORS	3573	MONTGOMERY RD	CINCINNATI	45212	No	2013-02-25	Auto Mechanical & Electrical Repairs
