""\WBYP`(?=\s`)"";""\WBYPS`(?=/`)"";""\WBYPA`(?=,`)"";""\WBYPS`(?=\s`)"";""\WBYPA`(?=/`)"";""\WBYPA`(?=\s`)"";""\WBYPAS`(?=,`)"";""\WBYPAS`(?=/`)"";""\WBYPAS`(?=\s`)"";""\WBYPASS`(?=,`)"";""\WBYPASS`(?=/`)"";""\WBYP`(?=,`)"";""\WBYPASS`(?=\s`)"";""\WBYP`(?=/`)"";""\WBYPS`(?=,`)""	 Bypass	3
""\WCMP`(?=\s`)"";""\WCAMP`(?=,`)"";""\WCAMP`(?=/`)"";""\WCAMP`(?=\s`)"";""\WCP`(?=,`)"";""\WCMP`(?=,`)"";""\WCP`(?=/`)"";""\WCMP`(?=/`)"";""\WCP`(?=\s`)""	 Camp	3
""\WCANYON`(?=,`)"";""\WCANYON`(?=/`)"";""\WCANYON`(?=\s`)"";""\WCYN`(?=,`)"";""\WCYN`(?=/`)"";""\WCNYN`(?=,`)"";""\WCYN`(?=\s`)"";""\WCNYN`(?=/`)"";""\WCANYN`(?=,`)"";""\WCNYN`(?=\s`)"";""\WCANYN`(?=/`)"";""\WCANYN`(?=\s`)""	 Canyon	3
""\WCPE`(?=,`)"";""\WCPE`(?=/`)"";""\WCPE`(?=\s`)"";""\WCAPE`(?=,`)"";""\WCAPE`(?=/`)"";""\WCAPE`(?=\s`)""	 Cape	3
""\WCAUSWAY`(?=/`)"";""\WCSWY`(?=/`)"";""\WCAUSWAY`(?=\s`)"";""\WCSWY`(?=\s`)"";""\WCAUSEWAY`(?=,`)"";""\WCAUSEWAY`(?=/`)"";""\WCAUSEWAY`(?=\s`)"";""\WCAUSWAY`(?=,`)"";""\WCSWY`(?=,`)""	 Causeway	3
""\WCNTER`(?=,`)"";""\WCEN`(?=,`)"";""\WCNTER`(?=/`)"";""\WCNTER`(?=\s`)"";""\WCEN`(?=/`)"";""\WCENTR`(?=,`)"";""\WCNTR`(?=,`)"";""\WCEN`(?=\s`)"";""\WCENTR`(?=/`)"";""\WCNTR`(?=/`)"";""\WCENT`(?=,`)"";""\WCTR`(?=,`)"";""\WCENTR`(?=\s`)"";""\WCNTR`(?=\s`)"";""\WCENT`(?=/`)"";""\WCTR`(?=/`)"";""\WCENTRE`(?=,`)"";""\WCENT`(?=\s`)"";""\WCTR`(?=\s`)"";""\WCENTRE`(?=/`)"";""\WCENTER`(?=,`)"";""\WCENTRE`(?=\s`)"";""\WCENTER`(?=/`)"";	 Center	3
""\WCENTERS`(?=,`)"";""\WCENTERS`(?=/`)"";""\WCENTERS`(?=\s`)"";""\WCTRS`(?=,`)"";""\WCTRS`(?=/`)"";""\WCTRS`(?=\s`)""	 Centers	3
""\WCIR`(?=\s`)"";""\WCRCLE`(?=\s`)"";""\WCIRC`(?=,`)"";""\WCIRC`(?=/`)"";""\WCIRC`(?=\s`)"";""\WCIRCL`(?=,`)"";""\WCIRCL`(?=/`)"";""\WCRCL`(?=,`)"";""\WCIRCL`(?=\s`)"";""\WCRCL`(?=/`)"";""\WCIRCLE`(?=,`)"";""\WCRCL`(?=\s`)"";""\WCIRCLE`(?=/`)"";""\WCIR`(?=,`)"";""\WCRCLE`(?=,`)"";""\WCIRCLE`(?=\s`)"";""\WCIR`(?=/`)"";""\WCRCLE`(?=/`)"";""\bCir\b"";""\bCI\s*$""	 Circle	3
""\WCIRCLES`(?=,`)"";""\WCIRCLES`(?=/`)"";""\WCIRCLES`(?=\s`)"";""\WCIRS`(?=,`)"";""\WCIRS`(?=/`)"";""\WCIRS`(?=\s`)""	 Circles	3
""\WCLF`(?=,`)"";""\WCLF`(?=/`)"";""\WCLF`(?=\s`)"";""\WCLIFF`(?=,`)"";""\WCLIFF`(?=/`)"";""\WCLIFF`(?=\s`)""	 Cliff	3
